reservation_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,meal,required_car_parking_spaces,total_of_special_requests,market_segment,distribution_channel,is_repeated_guest,reserved_room_type,assigned_room_type,deposit_type,agent,company,customer_type,adr,reservation_status,reservation_status_date,cluster,customer_segment
47,Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,ESP,BB,0,1,Offline TA/TO,TA/TO,0,A,A,No Deposit,134.0,,Transient,58.95,Check-Out,2015-09-07,2,2
48,Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,NOR,BB,0,2,Offline TA/TO,TA/TO,0,E,E,No Deposit,156.0,,Transient-Party,82.88,Check-Out,2015-09-07,0,0
49,Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,GBR,HB,0,0,Offline TA/TO,TA/TO,0,A,B,No Deposit,243.0,,Contract,82.35,Check-Out,2015-09-07,2,2
50,Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,IRL,HB,0,1,Online TA,TA/TO,0,E,F,No Deposit,241.0,,Transient,119.35,Check-Out,2015-09-07,0,0
51,Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,NOR,BB,0,2,Offline TA/TO,TA/TO,0,D,D,No Deposit,156.0,,Transient-Party,67.58,Check-Out,2015-09-07,0,0
54,Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,ESP,BB,1,0,Online TA,TA/TO,0,A,C,No Deposit,240.0,,Transient,88.2,Check-Out,2015-03-07,1,1
55,Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,ARG,BB,1,0,Online TA,TA/TO,0,H,H,No Deposit,240.0,,Transient,147.0,Check-Out,2015-03-07,1,1
58,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,D,No Deposit,240.0,,Transient,117.9,Check-Out,2015-03-07,0,0
61,Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,G,G,No Deposit,241.0,,Transient,117.81,Check-Out,2015-04-07,1,1
62,Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,IRL,BB,1,2,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,135.0,Check-Out,2015-04-07,0,0
66,Resort Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,USA,BB,1,0,Online TA,TA/TO,0,G,H,No Deposit,240.0,,Transient,153.0,Check-Out,2015-05-07,1,1
68,Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,POL,BB,0,0,Online TA,TA/TO,0,D,D,No Deposit,242.0,,Transient,97.0,Check-Out,2015-05-07,1,1
72,Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,73.8,Canceled,2015-12-06,1,1
75,Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,A,A,No Deposit,242.0,,Transient,110.3,Canceled,2015-09-06,1,1
80,Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,PRT,BB,0,0,Offline TA/TO,TA/TO,0,D,D,No Deposit,5.0,,Transient,85.86,Check-Out,2015-11-07,2,2
93,Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,USA,BB,0,0,Online TA,TA/TO,0,C,C,No Deposit,241.0,,Transient,94.71,Check-Out,2015-04-07,1,1
98,Resort Hotel,0,63,2015,July,27,3,2,5,3,0.0,0,ESP,HB,0,1,Offline TA/TO,TA/TO,0,E,E,No Deposit,105.0,,Transient,196.54,Check-Out,2015-10-07,0,0
99,Resort Hotel,0,101,2015,July,27,3,2,5,2,1.0,0,PRT,BB,1,2,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,99.3,Check-Out,2015-10-07,0,0
100,Resort Hotel,0,102,2015,July,27,3,2,5,2,0.0,0,DEU,BB,0,0,Direct,Direct,0,E,E,No Deposit,250.0,,Transient,90.95,Check-Out,2015-10-07,2,2
101,Resort Hotel,0,4,2015,July,27,4,2,1,2,0.0,0,ESP,BB,0,1,Direct,Direct,0,A,C,No Deposit,250.0,,Transient,92.67,Check-Out,2015-07-07,1,1
102,Resort Hotel,0,98,2015,July,27,4,2,1,2,0.0,0,FRA,BB,1,0,Offline TA/TO,TA/TO,0,D,D,No Deposit,8.0,,Transient,71.55,Check-Out,2015-07-07,1,1
105,Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,96.3,Check-Out,2015-11-07,0,0
106,Resort Hotel,1,26,2015,July,27,4,2,5,2,2.0,0,PRT,BB,0,0,Online TA,TA/TO,0,H,H,No Deposit,240.0,,Transient,163.0,Canceled,2015-09-06,0,0
109,Resort Hotel,0,115,2015,July,27,4,2,5,2,0.0,0,PRT,BB,0,1,Offline TA/TO,TA/TO,0,A,A,No Deposit,134.0,,Transient,58.95,Check-Out,2015-11-07,2,2
110,Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,1,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,73.8,Check-Out,2015-11-07,0,0
112,Resort Hotel,0,78,2015,July,27,4,2,5,2,0.0,1,PRT,HB,0,2,Online TA,TA/TO,0,E,F,No Deposit,240.0,,Transient,139.0,Check-Out,2015-11-07,0,0
116,Resort Hotel,0,109,2015,July,27,4,2,6,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,75.0,Check-Out,2015-12-07,2,2
129,Resort Hotel,0,1,2015,July,27,4,1,1,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,75.0,Check-Out,2015-06-07,1,1
134,Resort Hotel,0,0,2015,July,28,5,1,0,2,0.0,0,ESP,BB,0,0,Online TA,TA/TO,0,A,C,No Deposit,306.0,,Transient,85.1,Check-Out,2015-06-07,1,1
138,Resort Hotel,0,9,2015,July,28,5,1,0,1,0.0,0,DEU,BB,1,0,Online TA,TA/TO,0,A,A,No Deposit,184.0,,Transient,101.0,Check-Out,2015-06-07,1,1
141,Resort Hotel,0,44,2015,July,28,5,2,0,3,0.0,0,PRT,HB,2,0,Online TA,TA/TO,0,G,G,No Deposit,240.0,,Transient,225.0,Check-Out,2015-07-07,0,0
142,Resort Hotel,0,80,2015,July,28,5,2,0,2,0.0,0,FRA,BB,1,0,Online TA,TA/TO,0,D,E,No Deposit,240.0,,Transient,97.0,Check-Out,2015-07-07,1,1
144,Resort Hotel,0,109,2015,July,28,5,2,3,2,1.0,0,CN,BB,1,2,Offline TA/TO,TA/TO,0,A,D,No Deposit,241.0,,Transient,85.59,Check-Out,2015-10-07,0,0
146,Resort Hotel,0,64,2015,July,28,5,2,3,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,107.0,Check-Out,2015-10-07,1,1
147,Resort Hotel,0,39,2015,July,28,5,2,4,2,0.0,0,ESP,BB,0,0,Online TA,TA/TO,0,H,H,No Deposit,240.0,,Transient,163.0,Check-Out,2015-11-07,0,0
150,Resort Hotel,1,93,2015,July,28,5,2,5,2,0.0,0,PRT,HB,0,0,Offline TA/TO,TA/TO,0,D,D,No Deposit,15.0,,Transient,105.5,Canceled,2015-01-05,2,2
151,Resort Hotel,0,97,2015,July,28,5,2,5,2,2.0,0,PRT,HB,1,1,Direct,Direct,0,C,C,No Deposit,250.0,,Transient,164.2,Check-Out,2015-12-07,0,0
152,Resort Hotel,0,29,2015,July,28,5,2,5,2,0.0,0,IRL,BB,0,1,Online TA,TA/TO,0,F,F,No Deposit,241.0,,Transient,97.29,Check-Out,2015-12-07,0,0
162,Resort Hotel,0,111,2015,July,28,6,1,3,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,C,No Deposit,240.0,,Transient,123.0,Check-Out,2015-10-07,0,0
163,Resort Hotel,0,51,2015,July,28,6,1,3,2,0.0,0,USA,BB,1,2,Online TA,TA/TO,0,G,G,No Deposit,241.0,,Transient,117.81,Check-Out,2015-10-07,0,0
166,Resort Hotel,0,84,2015,July,28,6,1,3,2,0.0,1,PRT,BB,0,2,Online TA,TA/TO,0,D,E,No Deposit,240.0,,Transient,97.0,Check-Out,2015-10-07,0,0
168,Resort Hotel,0,111,2015,July,28,6,0,0,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,H,No Deposit,240.0,,Transient,0.0,Check-Out,2015-06-07,1,1
171,Resort Hotel,0,7,2015,July,28,6,1,1,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,E,No Deposit,240.0,,Transient,98.0,Check-Out,2015-08-07,0,0
173,Resort Hotel,0,95,2015,July,28,6,1,2,2,0.0,0,GRC,BB,0,1,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,97.0,Check-Out,2015-09-07,1,1
177,Resort Hotel,0,28,2015,July,28,6,1,4,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,123.0,Check-Out,2015-11-07,1,1
180,Resort Hotel,0,104,2015,July,28,6,1,5,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,117.63,Check-Out,2015-12-07,2,2
195,Resort Hotel,0,55,2015,July,28,7,0,3,2,0.0,0,ESP,BB,1,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,82.0,Check-Out,2015-10-07,0,0
199,Resort Hotel,0,0,2015,July,28,7,0,1,1,0.0,0,GBR,BB,0,3,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,109.8,Check-Out,2015-08-07,0,0
200,Resort Hotel,0,0,2015,July,28,7,0,1,3,0.0,0,PRT,HB,1,0,Direct,Direct,0,C,C,No Deposit,,,Transient,195.0,Check-Out,2015-08-07,0,0
202,Resort Hotel,0,8,2015,July,28,7,0,4,3,2.0,0,ESP,BB,0,1,Online TA,TA/TO,0,H,H,No Deposit,240.0,,Transient,75.0,Check-Out,2015-11-07,1,1
205,Resort Hotel,0,0,2015,July,28,7,0,4,2,0.0,0,NLD,BB,0,0,Direct,Direct,0,A,A,No Deposit,,,Transient,98.0,Check-Out,2015-11-07,1,1
211,Resort Hotel,0,68,2015,July,28,8,0,3,2,0.0,0,GBR,BB,0,1,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,107.0,Check-Out,2015-11-07,0,0
212,Resort Hotel,0,7,2015,July,28,8,0,4,2,0.0,0,PRT,BB,1,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,131.0,Check-Out,2015-12-07,0,0
215,Resort Hotel,0,5,2015,July,28,8,0,4,2,0.0,0,ESP,BB,0,1,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,146.0,Check-Out,2015-12-07,0,0
216,Resort Hotel,0,83,2015,July,28,8,0,4,2,0.0,0,PRT,BB,0,1,Offline TA/TO,TA/TO,0,A,A,No Deposit,105.0,,Transient,110.7,Check-Out,2015-12-07,0,0
219,Resort Hotel,1,1,2015,July,28,8,0,1,2,0.0,0,PRT,BB,0,1,Corporate,Corporate,0,A,A,No Deposit,,110.0,Transient,104.72,Canceled,2015-08-07,1,1
231,Resort Hotel,0,17,2015,July,28,9,0,1,2,2.0,0,PRT,BB,0,3,Online TA,TA/TO,0,C,C,No Deposit,242.0,,Transient,123.0,Check-Out,2015-10-07,0,0
233,Resort Hotel,0,12,2015,July,28,9,0,2,2,2.0,0,PRT,BB,1,0,Direct,Direct,0,H,G,No Deposit,,,Transient,146.0,Check-Out,2015-11-07,1,1
234,Resort Hotel,1,77,2015,July,28,9,0,3,2,0.0,0,PRT,BB,0,0,Direct,Direct,0,D,D,No Deposit,250.0,,Transient,97.0,Canceled,2015-02-06,1,1
249,Resort Hotel,0,10,2015,July,28,10,0,1,2,0.0,0,USA,BB,0,0,Direct,Direct,0,A,A,No Deposit,250.0,,Transient,131.0,Check-Out,2015-11-07,1,1
250,Resort Hotel,0,22,2015,July,28,10,0,2,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,88.2,Check-Out,2015-12-07,1,1
254,Resort Hotel,0,3,2015,July,28,10,0,2,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,131.0,Check-Out,2015-12-07,0,0
255,Resort Hotel,0,13,2015,July,28,10,0,2,2,1.0,0,PRT,HB,1,1,Online TA,TA/TO,0,G,G,No Deposit,240.0,,Transient,185.0,Check-Out,2015-12-07,0,0
256,Resort Hotel,0,108,2015,July,28,10,0,2,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,87.3,Check-Out,2015-12-07,0,0
284,Resort Hotel,1,36,2015,July,28,11,2,4,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,126.67,Canceled,2015-08-06,1,1
293,Resort Hotel,0,0,2015,July,28,11,0,1,2,0.0,0,DEU,HB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,144.9,Check-Out,2015-12-07,0,0
294,Resort Hotel,0,0,2015,July,28,11,0,1,2,0.0,0,ESP,BB,0,0,Direct,Direct,0,G,G,No Deposit,,,Transient,153.0,Check-Out,2015-12-07,1,1
311,Resort Hotel,1,72,2015,July,29,12,2,4,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,93.0,Canceled,2015-12-05,0,0
321,Resort Hotel,1,51,2015,July,29,12,2,5,2,0.0,0,PRT,HB,0,0,Online TA,TA/TO,0,A,A,No Deposit,241.0,,Transient,105.71,Canceled,2015-03-07,1,1
329,Resort Hotel,1,55,2015,July,29,12,4,10,2,10.0,0,PRT,BB,0,1,Offline TA/TO,TA/TO,0,D,D,No Deposit,8.0,,Contract,133.16,No-Show,2015-12-07,0,0
366,Resort Hotel,1,321,2015,July,29,13,1,4,2,0.0,0,PRT,HB,0,1,Direct,TA/TO,0,A,A,No Deposit,240.0,,Transient,132.8,Canceled,2015-05-03,2,2
398,Resort Hotel,1,112,2015,July,29,14,2,5,1,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,65.7,Canceled,2015-06-04,2,2
409,Resort Hotel,1,62,2015,July,29,15,0,3,2,0.0,0,PRT,HB,0,0,Offline TA/TO,TA/TO,0,A,A,No Deposit,171.0,,Transient,91.5,Canceled,2015-03-07,1,1
435,Resort Hotel,1,66,2015,July,29,16,0,2,2,2.0,0,PRT,BB,0,1,Online TA,TA/TO,0,G,G,No Deposit,240.0,,Transient,195.0,Canceled,2015-02-07,0,0
438,Resort Hotel,1,48,2015,July,29,16,0,1,1,0.0,0,PRT,BB,0,0,Direct,Direct,0,A,A,No Deposit,146.0,,Transient,112.0,Canceled,2015-05-06,1,1
442,Resort Hotel,1,66,2015,July,29,16,0,2,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,103.5,Canceled,2015-02-07,0,0
465,Resort Hotel,1,15,2015,July,29,17,0,2,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,134.0,Canceled,2015-06-07,0,0
518,Resort Hotel,1,123,2015,July,29,18,2,2,2,0.0,1,PRT,BB,0,2,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,157.0,Canceled,2015-04-06,0,0
519,Resort Hotel,1,42,2015,July,29,18,2,3,2,2.0,0,PRT,BB,0,0,Online TA,TA/TO,0,H,H,No Deposit,240.0,,Transient,210.0,Canceled,2015-11-06,0,0
536,Resort Hotel,1,60,2015,July,29,18,2,6,2,0.0,0,PRT,HB,0,0,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,167.0,Canceled,2015-01-06,0,0
560,Resort Hotel,1,104,2015,July,30,19,2,4,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,115.0,Canceled,2015-02-07,0,0
590,Resort Hotel,1,86,2015,July,30,20,2,5,2,1.0,0,PRT,HB,0,1,Direct,Direct,0,A,A,No Deposit,250.0,,Transient,172.93,Canceled,2015-11-05,0,0
600,Resort Hotel,1,42,2015,July,30,21,0,2,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,157.0,Canceled,2015-08-07,1,1
602,Resort Hotel,1,81,2015,July,30,21,0,3,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,115.0,Canceled,2015-01-06,0,0
646,Resort Hotel,1,105,2015,July,30,24,0,2,2,0.0,0,PRT,BB,0,0,Offline TA/TO,TA/TO,0,E,E,No Deposit,6.0,,Transient,132.5,Canceled,2015-01-07,1,1
648,Resort Hotel,1,67,2015,July,30,24,0,2,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,135.0,Canceled,2015-06-07,0,0
661,Resort Hotel,0,25,2015,July,30,24,2,6,2,0.0,0,PRT,BB,0,2,Direct,TA/TO,0,D,D,No Deposit,240.0,,Transient,154.0,Check-Out,2015-01-08,0,0
662,Resort Hotel,0,43,2015,July,30,24,2,7,2,0.0,0,ESP,HB,0,0,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,166.0,Check-Out,2015-02-08,0,0
663,Resort Hotel,0,35,2015,July,30,24,3,7,2,0.0,0,GBR,BB,0,0,Offline TA/TO,TA/TO,0,E,E,No Deposit,95.0,,Transient,132.5,Check-Out,2015-03-08,0,0
671,Resort Hotel,1,39,2015,July,30,25,0,1,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,120.6,Canceled,2015-11-07,1,1
674,Resort Hotel,1,16,2015,July,30,25,1,1,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,242.0,,Transient,153.0,Canceled,2015-10-07,0,0
686,Resort Hotel,1,87,2015,July,30,25,2,4,2,0.0,0,PRT,BB,0,3,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,134.0,Canceled,2015-02-06,0,0
690,Resort Hotel,1,96,2015,July,30,25,2,5,2,0.0,0,PRT,HB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,166.0,Canceled,2015-12-05,0,0
692,Resort Hotel,0,54,2015,July,30,25,2,5,2,0.0,0,PRT,HB,0,0,Online TA,TA/TO,0,A,A,No Deposit,242.0,,Transient,147.0,Check-Out,2015-01-08,0,0
694,Resort Hotel,0,31,2015,July,30,25,2,5,2,0.0,0,PRT,BB,1,0,Offline TA/TO,TA/TO,0,A,A,No Deposit,142.0,,Transient,107.2,Check-Out,2015-01-08,1,1
695,Resort Hotel,1,25,2015,July,30,25,2,6,1,0.0,0,PRT,BB,0,0,Direct,Direct,0,A,A,No Deposit,250.0,,Transient,131.63,Canceled,2015-03-07,1,1
702,Resort Hotel,0,59,2015,July,30,25,4,8,2,0.0,0,IRL,BB,0,1,Offline TA/TO,TA/TO,0,D,D,No Deposit,8.0,,Contract,114.25,Check-Out,2015-06-08,0,0
707,Resort Hotel,1,50,2015,July,30,25,2,5,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,164.0,Canceled,2015-08-06,0,0
712,Resort Hotel,1,54,2015,July,31,26,2,4,2,1.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,241.0,,Transient,95.02,Canceled,2015-03-06,0,0
715,Resort Hotel,1,54,2015,July,31,26,2,4,2,1.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,241.0,,Transient,95.02,Canceled,2015-03-06,0,0
717,Resort Hotel,0,38,2015,July,31,26,2,5,2,2.0,0,ESP,HB,0,0,Direct,Direct,0,C,C,No Deposit,250.0,,Transient,180.0,Check-Out,2015-02-08,0,0
719,Resort Hotel,0,130,2015,July,31,26,2,5,2,0.0,0,PRT,HB,0,1,Direct,Direct,0,E,E,No Deposit,250.0,,Transient,174.01,Check-Out,2015-02-08,0,0
724,Resort Hotel,1,48,2015,July,31,27,1,1,2,2.0,0,PRT,BB,0,1,Online TA,TA/TO,0,H,H,No Deposit,240.0,,Transient,210.0,Canceled,2015-03-07,0,0
743,Resort Hotel,1,87,2015,July,31,27,1,3,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,134.0,Canceled,2015-09-05,0,0
751,Resort Hotel,1,34,2015,July,31,27,1,4,2,0.0,0,PRT,HB,0,0,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,164.0,Canceled,2015-06-07,0,0
754,Resort Hotel,0,40,2015,July,31,27,1,5,2,0.0,0,PRT,BB,0,0,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,120.6,Check-Out,2015-02-08,1,1
759,Resort Hotel,0,38,2015,July,31,27,2,5,2,0.0,0,GBR,BB,0,0,Offline TA/TO,TA/TO,0,A,A,No Deposit,142.0,,Transient,107.2,Check-Out,2015-03-08,1,1
768,Resort Hotel,0,47,2015,July,31,28,0,4,2,0.0,0,PRT,BB,0,2,Direct,Direct,0,F,F,No Deposit,,,Transient,164.0,Check-Out,2015-01-08,0,0
769,Resort Hotel,0,50,2015,July,31,28,0,5,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,138.8,Check-Out,2015-02-08,0,0
771,Resort Hotel,0,36,2015,July,31,28,0,5,2,0.0,0,ESP,BB,0,0,Direct,Direct,0,D,D,No Deposit,250.0,,Transient,135.0,Check-Out,2015-02-08,1,1
776,Resort Hotel,1,119,2015,July,31,29,0,4,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,108.54,Canceled,2015-04-04,0,0
777,Resort Hotel,0,30,2015,July,31,29,0,4,2,0.0,0,PRT,BB,1,2,Online TA,TA/TO,0,A,E,No Deposit,240.0,,Transient,146.0,Check-Out,2015-02-08,0,0
778,Resort Hotel,1,29,2015,July,31,29,1,4,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,165.4,Canceled,2015-02-07,0,0
782,Resort Hotel,0,37,2015,July,31,29,1,4,2,0.0,0,PRT,HB,0,1,Direct,Direct,0,A,D,No Deposit,250.0,,Transient,157.0,Check-Out,2015-03-08,0,0
